customer_id,loans_credit_limit,days_since_opened,days_since_confirmed,loans_credit_cost_rate,record_number,utilization
342,0,7,2,3,13,3
343,17,1,9,2,13,6
344,14,15,14,2,3,9
345,0,7,9,9,16,16
346,4,2,0,2,13,9
347,18,3,12,6,16,16
348,1,10,13,5,1,16
349,7,14,14,4,2,16
350,4,12,0,6,12,16
351,17,5,11,9,12,16
352,16,6,9,1,6,16
353,4,3,17,6,10,16
354,14,16,7,2,1,16
355,12,18,8,2,9,16
356,7,9,5,0,13,16
357,7,5,11,0,21,16
358,1,6,11,3,8,16
359,7,5,17,0,8,16
360,3,5,8,11,4,16
361,4,13,17,4,3,9
362,0,0,8,8,17,16
363,13,8,17,4,2,16
364,13,5,11,10,13,16
365,10,19,0,13,10,15
366,18,15,4,4,2,16
367,3,18,9,5,1,16
368,1,0,5,2,7,16
369,10,0,4,2,5,16
370,1,4,9,1,6,16
371,6,0,6,9,9,16
372,5,5,11,8,3,16
373,14,1,13,13,18,16
374,17,16,7,2,3,16
375,4,13,12,5,16,9
376,4,16,12,4,2,9
377,13,0,4,4,6,16
378,10,18,11,5,6,16
379,6,7,9,0,13,12
380,11,10,14,2,7,16
381,17,10,6,4,2,3
382,0,9,0,4,20,18
383,4,14,11,4,4,9
384,13,16,7,4,2,16
385,2,1,13,8,10,16
386,14,10,4,4,2,16
387,8,15,7,4,4,16
388,15,9,10,13,10,15
389,1,14,3,2,2,16
390,18,8,7,2,2,16
391,0,5,17,0,16,16
392,15,10,12,4,8,16
393,12,0,8,2,5,16
394,15,5,13,1,10,16
395,5,3,3,4,15,16
396,19,18,8,2,15,16
397,2,9,10,2,7,19
398,19,0,4,2,4,16
399,7,18,11,4,14,16
400,19,13,9,2,7,16
401,1,10,3,4,3,16
402,1,11,17,2,21,16
403,6,13,10,4,5,16
404,4,6,3,3,16,9
405,14,18,9,5,10,9
406,7,6,17,10,15,16
407,6,9,5,3,18,16
408,19,9,2,0,19,7
409,10,9,6,7,16,16
410,10,17,2,2,14,16
411,12,6,14,5,10,16
412,11,7,9,3,14,15
413,14,16,4,2,4,9
414,2,9,9,11,12,18
415,11,15,4,2,9,16
416,13,11,3,3,13,16
417,2,17,9,8,11,16
418,4,15,14,4,4,9
419,0,0,2,11,10,10
420,14,19,16,11,19,3
421,17,10,14,2,6,16
422,1,8,17,9,6,16
423,0,11,9,13,10,15
424,15,7,9,11,12,16
425,3,10,9,8,5,16
426,2,6,17,2,12,16
427,10,18,8,4,10,16
428,16,6,9,5,8,3
429,5,14,4,4,2,16
430,18,10,6,3,10,16
431,10,8,7,4,2,16
432,16,0,14,4,7,16
433,4,10,13,4,6,9
434,7,0,9,1,8,16
435,10,4,11,3,7,16
436,12,8,7,1,5,16
437,15,13,8,4,4,16
438,2,9,10,4,11,11
439,7,4,12,3,8,16
440,11,18,9,1,12,16
441,19,14,6,4,6,16
442,19,18,9,4,1,16
443,16,18,12,2,13,16
444,4,8,13,3,4,9
445,8,0,10,4,8,2
446,1,8,3,4,1,16
447,11,11,9,2,11,0
448,0,13,14,2,9,16
449,12,3,5,2,16,16
450,17,13,8,2,7,16
451,14,15,17,2,2,9
452,12,11,10,0,10,16
453,15,7,9,13,16,3
454,5,5,1,4,16,16
455,1,7,6,1,12,3
456,1,8,4,4,1,16
457,3,17,9,3,7,16
458,7,4,1,4,10,16
459,18,1,3,6,16,16
460,4,10,5,10,9,9
461,5,7,1,6,8,16
462,3,12,10,2,23,16
463,14,3,3,13,12,16
464,19,16,17,2,1,16
465,12,8,9,0,6,16
466,0,11,16,4,15,15
467,13,7,0,9,9,8
468,0,3,9,5,10,10
469,9,6,6,13,7,16
470,5,13,4,4,9,16
471,1,11,17,2,17,16
472,13,4,6,0,7,16
473,7,6,11,1,14,16
474,7,9,9,2,13,2
475,13,16,12,2,5,16
476,2,7,9,11,14,18
477,17,6,9,9,3,16
478,8,18,8,4,8,16
479,19,5,9,5,16,16
480,19,14,6,9,6,16
481,17,10,14,2,4,16
482,15,0,14,2,2,16
483,7,6,8,2,9,16
484,16,2,5,4,11,16
485,9,17,9,0,12,16
486,19,16,3,2,3,16
487,5,14,6,5,4,16
488,8,17,9,5,18,11
489,2,11,13,11,10,16
490,15,11,5,13,5,16
491,11,6,9,5,4,16
492,4,13,0,3,9,9
493,8,0,9,7,5,16
494,7,1,1,0,11,16
495,4,17,12,4,4,9
496,13,15,7,4,4,16
497,13,3,13,4,13,16
498,5,15,13,4,4,16
499,12,0,12,10,6,16
500,9,11,9,5,16,16
501,18,3,12,6,20,16
502,18,7,13,6,9,16
503,14,11,17,1,11,11
504,6,7,9,0,14,16
505,1,11,9,7,16,8
506,18,9,5,13,18,16
507,4,14,8,4,1,16
508,14,19,10,11,15,3
509,18,4,8,4,7,16
510,16,7,9,9,14,16
511,16,6,13,1,5,16
512,0,7,0,11,16,16
513,6,6,11,2,13,16
514,7,0,4,4,2,16
515,4,11,17,6,11,16
516,0,0,9,1,6,19
517,15,16,7,4,3,16
518,0,10,11,4,4,16
519,6,15,5,2,2,16
520,19,13,13,4,8,16
521,2,0,14,2,6,16
522,15,18,11,4,8,16
523,17,4,9,5,6,16
524,18,15,3,4,2,16
525,11,2,10,1,10,8
526,6,6,6,10,6,16
527,13,10,4,4,2,16
528,12,10,4,4,4,16
529,18,14,13,4,9,16
530,15,11,0,2,11,16
531,1,2,2,4,14,16
532,8,8,8,4,1,16
533,15,19,16,2,20,3
534,10,8,9,0,3,16
535,15,6,1,0,6,16
536,8,1,10,0,13,1
537,4,16,16,4,1,9
538,0,4,12,2,5,16
539,2,4,11,2,5,16
540,7,8,9,0,4,16
541,3,5,9,5,5,16
542,9,13,14,3,5,16
543,5,8,13,4,2,16
544,14,10,4,2,1,16
545,8,18,1,8,12,16
546,14,12,2,2,13,3
547,12,13,6,1,4,16
548,18,16,2,4,1,16
549,0,17,6,0,15,7
550,17,1,6,7,17,3
551,5,16,7,4,2,16
552,17,2,2,0,14,13
553,12,5,12,3,9,16
554,6,6,9,1,4,16
555,17,14,4,4,2,16
556,16,3,9,0,8,16
557,12,16,7,4,1,16
558,13,6,6,11,14,16
559,19,5,6,10,6,16
560,19,5,3,0,6,16
561,18,7,1,6,25,16
562,14,5,8,1,10,9
563,2,6,16,4,11,12
564,11,7,9,5,14,13
565,10,18,8,4,9,16
566,11,1,16,1,16,18
567,18,1,1,9,12,16
568,11,2,6,5,9,12
569,12,7,1,6,27,16
570,16,10,9,4,1,8
571,16,8,9,1,1,6
572,18,12,0,6,23,16
573,5,3,11,2,3,16
574,1,19,9,9,16,18
575,12,4,8,4,6,16
576,14,17,1,2,13,9
577,19,13,12,2,3,16
578,3,1,16,4,22,4
579,14,9,0,3,20,9
580,8,10,5,4,3,16
581,1,0,5,2,3,16
582,11,1,9,13,18,7
583,2,13,16,4,8,13
584,3,16,7,5,5,16
585,13,8,6,9,2,16
586,8,4,17,7,10,16
587,9,14,4,4,3,16
588,1,18,9,0,7,16
589,11,13,9,5,5,16
590,8,11,17,3,8,16
591,11,2,6,11,13,16
592,3,14,4,2,9,16
593,0,17,17,4,18,16
594,4,9,13,2,14,9
595,12,1,9,2,12,4
596,11,11,3,7,13,16
597,1,0,14,2,3,16
598,15,15,14,4,6,16
599,1,6,5,11,9,16
600,4,15,17,4,5,9
601,14,0,11,2,4,10
602,3,2,13,7,16,16
603,10,17,9,9,17,16
604,0,19,10,13,12,13
605,5,1,13,6,16,16
606,15,6,16,2,11,16
607,3,2,3,6,11,16
608,16,4,5,2,10,16
609,12,5,11,3,11,16
610,11,5,9,9,10,16
611,3,0,9,8,4,16
612,5,2,3,10,4,16
613,16,4,8,2,10,16
614,18,1,10,8,12,16
615,14,0,13,8,14,9
616,6,8,6,4,3,16
617,16,6,17,2,10,16
618,4,14,2,4,8,9
619,4,11,0,0,21,9
620,5,0,4,2,11,16
621,2,14,1,11,6,16
622,6,13,6,4,9,16
623,13,13,4,2,4,16
624,1,9,1,4,7,16
625,1,13,8,9,3,16
626,4,0,14,4,10,9
627,17,19,9,2,12,5
628,0,18,0,3,18,16
629,19,7,9,9,15,18
630,2,1,6,2,19,3
631,14,0,17,10,5,9
632,1,18,5,2,8,9
633,3,15,7,2,4,16
634,15,6,2,3,6,4
635,6,6,14,4,6,16
636,6,9,16,2,25,5
637,7,13,8,7,7,16
638,14,6,10,8,8,16
639,17,4,8,5,6,16
640,18,6,13,10,9,16
641,1,8,7,4,4,16
642,11,8,7,4,2,16
643,19,4,11,5,13,16
644,19,8,7,4,1,16
645,1,7,0,3,11,7
646,3,18,8,1,2,16
647,5,16,7,2,1,16
648,10,1,13,4,7,16
649,7,4,11,0,7,16
650,19,13,3,4,4,16
651,8,7,0,4,20,3
652,3,0,9,1,7,16
653,6,14,4,4,2,16
654,7,9,10,3,11,11
655,6,15,7,4,2,16
656,12,13,14,2,10,16
657,5,15,7,4,3,16
658,9,2,9,4,9,16
659,7,9,13,3,12,16
660,0,4,8,0,13,16
661,6,0,3,4,3,16
662,12,13,17,2,3,16
663,11,7,6,9,16,16
664,6,2,3,13,22,16
665,3,4,0,4,20,4
666,17,13,14,2,7,16
667,15,5,17,11,19,16
668,1,5,13,4,12,16
669,13,18,12,6,12,16
670,6,15,7,2,4,16
671,19,8,1,4,2,16
672,15,19,0,4,21,3
673,14,8,4,4,1,16
674,6,5,11,10,13,16
675,3,13,4,4,3,16
676,15,13,14,2,5,16
677,12,9,13,6,10,16
678,4,3,12,4,7,16
679,8,1,9,11,20,16
680,5,5,0,11,20,16
681,16,5,11,7,15,16
682,4,14,13,4,2,9
683,1,0,6,5,17,16
684,18,9,13,4,19,16
685,17,10,4,4,8,16
686,17,8,12,2,1,16
687,7,1,2,4,16,16
688,14,13,8,11,8,16
689,14,9,5,4,9,16
690,6,10,6,9,6,16
691,18,3,3,10,4,16
692,2,13,1,11,4,16
693,5,14,7,4,10,16
694,6,13,9,9,6,16
695,16,17,17,2,6,16
696,2,14,5,2,7,16
697,13,10,4,2,4,16
698,18,18,14,2,11,16
699,16,19,0,3,18,11
700,12,5,3,0,8,16
701,11,14,4,4,7,16
702,14,8,14,2,3,16
703,11,1,9,9,11,5
704,1,13,11,4,8,16
705,1,10,4,4,2,16
706,1,8,7,4,4,16
707,16,18,0,9,5,16
708,18,0,4,2,20,16
709,10,1,6,2,15,16
710,10,6,5,4,6,16
711,10,3,9,1,14,16
712,1,13,14,1,7,16
713,10,17,17,9,8,16
714,18,7,13,4,16,16
715,18,15,9,4,14,16
716,11,7,9,9,12,0
717,2,7,10,11,22,3
718,0,9,0,3,12,3
719,11,12,6,7,17,7
720,19,0,6,5,5,16
721,0,10,4,4,4,16
722,11,13,9,0,8,16
723,3,14,4,2,1,16
724,1,0,9,1,8,16
725,16,14,4,2,2,16
726,5,14,4,2,2,16
727,19,8,9,3,4,16
728,9,13,17,4,10,16
729,3,10,9,13,4,16
730,15,7,1,3,13,16
731,5,16,7,4,1,16
732,7,1,9,2,9,16
733,0,18,17,4,15,16
734,17,16,4,2,3,16
735,14,17,13,1,11,16
736,5,10,6,9,8,16
737,3,15,7,2,5,16
738,18,9,10,2,27,19
739,5,16,13,4,1,16
740,4,18,3,7,9,9
741,2,19,10,8,10,3
742,7,18,1,7,12,16
743,2,17,17,11,9,16
744,9,7,9,4,11,8
745,7,14,14,2,3,16
746,7,17,12,4,11,16
747,4,13,8,4,8,9
748,13,18,8,2,3,16
749,5,8,9,11,2,16
750,10,16,5,4,1,16
751,19,14,0,4,14,16
752,0,9,6,11,7,16
753,8,9,9,9,13,15
754,18,3,12,6,13,16
755,10,2,9,2,12,16
756,13,8,17,4,6,16
757,16,10,11,11,8,16
758,0,12,9,11,11,6
759,2,3,2,2,12,3
760,17,17,0,11,21,16
761,9,9,2,13,13,15
762,10,18,9,9,7,16
763,12,17,12,4,17,16
764,5,15,9,7,2,16
765,15,10,14,4,2,16
766,2,11,17,4,14,16
767,0,9,10,3,21,18
768,3,11,13,2,7,16
769,1,6,6,13,6,16
770,19,11,6,2,17,16
771,7,1,3,2,9,16
772,2,12,9,2,12,3
773,1,11,9,7,14,16
774,19,18,13,7,5,16
775,10,11,3,2,14,16
776,1,3,3,2,8,16
777,13,7,5,3,13,16
778,3,6,9,10,12,16
779,13,16,13,2,1,16
780,16,14,4,2,8,16
781,11,4,9,5,7,16
782,10,10,6,9,4,16
783,19,19,2,13,13,15
784,1,10,4,4,7,16
785,16,6,11,4,7,16
786,14,11,17,1,15,9
787,17,1,13,4,8,16
788,1,2,13,4,9,16
789,19,1,13,10,6,8
790,12,12,6,2,12,1
791,8,8,9,13,5,16
792,4,18,11,2,11,16
793,5,16,17,2,1,16
794,17,16,4,2,1,16
795,17,1,10,4,6,16
796,0,4,1,8,11,16
797,7,3,0,4,14,16
798,1,6,14,3,2,16
799,0,2,9,5,13,16
800,17,18,3,4,9,16
801,10,2,3,4,8,16
802,0,7,6,3,11,3
803,6,5,11,6,5,16
804,4,14,8,4,3,16
805,11,16,12,2,1,16
806,14,14,11,3,3,9
807,13,18,14,4,11,16
808,13,3,9,9,4,16
809,10,17,3,3,8,16
810,19,15,7,2,4,16
811,3,9,10,4,9,3
812,4,0,4,4,9,9
813,1,1,13,4,23,16
814,19,3,3,2,10,16
815,17,1,9,0,4,16
816,17,19,9,9,11,6
817,2,15,4,4,9,16
818,14,17,3,0,16,16
819,7,3,3,4,4,16
820,0,11,6,1,12,7
821,19,6,14,2,4,16
822,18,9,13,6,22,16
823,2,2,6,11,13,16
824,6,3,3,0,6,16
825,13,7,9,9,16,16
826,14,18,12,4,9,16
827,14,9,6,8,14,15
828,12,17,6,0,12,16
829,5,8,7,2,4,16
830,16,7,9,1,11,15
831,13,18,14,4,6,16
832,14,17,10,4,9,8
833,2,7,2,11,22,18
834,15,6,9,13,7,16
835,13,18,9,5,15,6
836,6,15,7,2,7,16
837,17,1,0,7,14,16
838,16,15,13,4,5,16
839,14,18,6,5,4,16
840,5,8,7,4,3,16
841,12,3,17,13,12,16
842,2,3,1,3,7,16
843,0,13,8,4,7,16
844,8,2,1,4,12,16
845,19,13,5,0,11,4
846,5,0,3,0,6,16
847,8,11,13,11,7,16
848,12,17,12,2,11,16
849,14,17,17,4,9,16
850,0,18,8,5,18,16
851,8,18,3,4,14,16
852,19,8,7,4,3,16
853,2,9,9,11,22,18
854,5,18,9,4,3,16
855,17,12,10,0,15,6
856,18,18,8,4,1,16
857,8,8,12,2,3,16
858,8,13,5,4,8,3
859,8,14,0,4,8,3
860,0,15,7,4,7,16
861,18,18,8,4,8,16
862,7,0,5,4,2,16
863,11,6,10,2,6,16
864,5,17,3,8,17,16
865,18,9,13,9,16,16
866,7,12,6,0,16,19
867,15,5,11,3,10,16
868,19,0,9,4,5,16
869,3,14,6,7,7,16
870,8,5,9,5,19,16
871,9,1,6,1,9,16
872,13,18,6,5,8,16
873,2,7,0,4,10,3
874,3,15,3,4,1,16
875,9,9,0,4,22,18
876,7,8,8,2,3,16
877,4,0,1,4,7,9
878,8,0,16,2,5,16
879,16,1,16,2,17,1
880,15,6,8,2,10,16
881,2,9,9,8,14,16
882,9,6,16,3,7,16
883,2,15,12,2,5,16
884,0,2,1,3,13,16
885,2,0,12,3,6,16
886,17,5,10,4,7,6
887,5,2,13,4,20,16
888,10,4,11,3,14,16
889,15,9,9,11,20,18
890,3,9,0,4,6,16
891,17,3,2,13,5,16
892,15,18,16,4,8,16
893,4,16,14,4,4,9
894,2,1,9,11,12,11
895,7,9,5,1,11,16
896,16,14,14,4,5,16
897,17,2,9,9,9,3
898,1,18,9,9,13,16
899,0,15,4,4,6,16
900,5,19,0,10,20,15
901,15,19,0,2,11,3
902,15,12,2,0,11,5
903,1,12,10,11,15,11
904,0,13,8,4,5,16
905,15,18,16,8,10,8
906,12,3,16,13,15,7
907,10,6,14,4,8,16
908,12,0,6,9,6,16
909,8,15,6,3,3,16
910,16,18,17,2,4,16
911,1,0,6,7,7,16
912,12,7,6,2,16,0
913,1,2,13,6,12,16
914,17,3,11,7,7,16
915,13,14,9,9,6,16
916,2,0,2,4,8,10
917,12,0,4,9,1,16
918,14,14,16,9,2,9
919,5,5,8,5,13,16
920,18,15,7,4,1,16
921,18,1,10,8,15,16
922,4,17,5,4,16,9
923,14,3,13,1,22,9
924,13,6,14,2,4,16
925,7,0,9,3,9,16
926,4,5,16,2,11,16
927,14,19,0,2,15,9
928,18,8,0,4,5,16
929,9,2,9,0,11,6
930,7,0,12,2,4,16
931,5,6,9,4,7,16
932,3,6,11,2,2,16
933,16,8,7,2,3,16
934,5,18,13,9,6,16
935,13,16,13,0,5,16
936,1,6,14,4,11,16
937,8,3,16,4,16,16
938,12,2,1,4,9,16
939,14,15,4,4,5,16
940,12,2,9,9,18,16
941,15,4,8,4,16,16
942,5,8,1,4,1,16
943,1,10,12,4,8,16
944,5,5,17,2,9,16
945,1,7,2,0,11,10
946,1,17,12,4,2,16
947,7,15,17,2,6,16
948,11,18,10,1,12,16
949,10,2,2,2,5,16
950,11,15,4,4,4,16
951,16,10,4,2,6,16
952,11,1,5,2,15,16
953,10,7,2,4,18,0
954,15,4,10,8,16,5
955,1,8,7,2,2,16
956,14,6,6,5,6,16
957,2,4,0,13,2,16
958,13,12,10,6,27,16
959,17,15,4,4,3,16
960,4,19,1,6,3,16
961,14,8,4,10,4,9
962,17,4,17,0,10,16
963,3,9,5,8,19,16
964,18,18,14,2,5,16
965,14,14,14,2,5,9
966,14,5,17,2,10,9
967,7,12,16,3,12,6
968,5,8,7,4,5,16
969,5,8,9,10,5,16
970,11,4,3,5,11,16
971,3,0,9,4,3,16
972,6,10,4,4,4,16
973,5,8,7,2,6,16
974,18,11,17,6,4,16
975,5,15,7,4,1,16
976,19,17,9,9,11,16
977,14,9,5,7,22,5
978,1,5,1,3,8,16
979,15,17,9,13,11,7
980,13,7,0,3,11,8
981,1,13,8,2,4,16
982,14,2,2,2,13,9
983,2,1,2,2,13,11
984,13,16,17,2,1,16
985,2,16,7,2,1,16
986,13,6,12,10,7,16
987,2,5,1,11,11,16
988,13,0,14,2,3,16
989,4,3,5,4,7,9
990,13,9,13,4,17,16
991,5,2,13,10,14,16
